Theme,Opportunity Space,Year Founded,Maturity,Website,Business Description,Funding Stage,Total funding (US$),Region,Country,Company Name,Showing?
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2009,Emerging,https://boatequity.com.au,Provides boat syndication software and boat sharing solution,Unfunded,,Asia & the Pacific,Australia,Boat Equity,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2018,Distant,https://boatgearaustralia.com.au,Provides online listing platform to buy boat equipment,Unfunded,,Asia & the Pacific,Australia,Boat Gear Australia,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2013,Emerging,https://forkliftsafetyapp.com,Asset tracking application for forklift,Unfunded,,Asia & the Pacific,Australia,Forklift Safety,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2019,Distant,https://freightlinc.com,Provider of cargo and container tracking systems,Unfunded,,Asia & the Pacific,Australia,Freight Linc,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2009,Emerging,https://jaymes.com.au,Internet first brand selling beachwear and lingerie online,Unfunded,,Asia & the Pacific,Australia,Jaymes,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2015,Emerging,https://powerlinespro.com,Cloud-based digital twin solution for power line designing,Funded,,Asia & the Pacific,Australia,LineSoft,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2013,Emerging,https://marinelivefleet.com,Application for tracking vessels,Unfunded,,Asia & the Pacific,Australia,Marine LiveFleet,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2010,Emerging,https://minoit.com.au,IT Managed Services Provider,Unfunded,,Asia & the Pacific,Australia,Mino IT,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2015,Emerging,https://petradatascience.com,Provider of machine learning and optimization solutions to the mining industry,Unfunded,,Asia & the Pacific,Australia,PETRA,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2019,Distant,https://seaworthyinspections.com.au,Provides boat inspection service,Unfunded,,Asia & the Pacific,Australia,SeaWorthy Inspections,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2016,Emerging,https://sitesee.io,Cloud based remote asset monitoring solutions provider,Seed,,Asia & the Pacific,Australia,SiteSee,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2005,Emerging,https://smartboating.com.au,Provides a platform for fractional boat ownership,Unfunded,,Asia & the Pacific,Australia,SMART Boating,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2018,Emerging,https://sparrows.io,Provider of real-time cargo monitoring solutions,Funded,,Asia & the Pacific,Australia,Sparrows,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2016,Emerging,https://tbsx3.com,Blockchain-based logistics tracking system,Unfunded,,Asia & the Pacific,Australia,TBSx3,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2014,Emerging,https://thethreadsmiths.com,Hydrophobic clothing maker,Unfunded,,Asia & the Pacific,Australia,The Threadsmiths,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2014,Emerging,https://trackem.com.au,Solution for asset monitoring,Unfunded,,Asia & the Pacific,Australia,Trackem,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2017,Emerging,https://trackster.global,Provider of cloud and AI-enabled cargo and asset tracking systems,Unfunded,,Asia & the Pacific,Australia,Trackster,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2018,Distant,https://trendspek.com,Platform providing asset management solution for digital twins,Unfunded,,Asia & the Pacific,Australia,Trendspek,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2017,Emerging,https://willowinc.com,Provider of digital twin technology based products and services for construction & maintenance,Unfunded,,Asia & the Pacific,Australia,Willow,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2018,Distant,https://willowrail.com,Digital twin platform provider for rail maintenance,Unfunded,,Asia & the Pacific,Australia,Willow Rail,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2014,Emerging,https://wpnwear.com,Internet-first brand of men's performance activewear,Unfunded,,Asia & the Pacific,Australia,WPN,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2008,Emerging,https://yoti.com.au,Provides online platform for buying and selling boats,Unfunded,,Asia & the Pacific,Australia,YOTI,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2017,Emerging,https://ziontech.com.au,Blockchain-based supply chain management solution for wine industry,Unfunded,,Asia & the Pacific,Australia,ZionTech,Yes
"Infrastructure, Vessel & Asset efficiency",Vessel Flow Efficiency,2015,Emerging,https://ceramicnanocoatings.com.au,Manufacturer of hydrophobic surface protection solutions,Unfunded,,Asia & the Pacific,Australia,Ceramic Nano Coating,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2018,Distant,https://zachai.xyz,Blockchain-based counterfeit solutions,Unfunded,,Asia & the Pacific,Bangladesh,Zachai,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2018,Distant,https://lumenplatform.com,Big data analytics software using ML and AI technologies,Unfunded,,Latin America and the Caribbean,Brazil,Lumen Platform,Yes
"Infrastructure, Vessel & Asset Efficiency",Drones and UVs,2015,Emerging,https://skyx.com,Develops a VTOL drone and provides inspection services,Series B,15171600,North America,Canada,SkyX,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2015,Distant,https://upchain.com,3D CAD viewer and data integration platform for manufacturing industry,Series A,5855110,North America,Canada,Upchain,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2014,Distant,https://veerum.com,Cloud-based digital twin platform for predictive maintenance during construction,Seed,3900000,North America,Canada,VEERUM,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2015,Distant,https://llamazoo.com,Interactive online platform anatomy learning,Funded,500000,North America,Canada,LlamaZOO,Yes
"Infrastructure, vessel & Asset efficiency",Equipment Management,2014,Distant,https://marimetrics.com,Limited information available,Funded,,North America,Canada,Marimetrics,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2013,Emerging,https://ymm56.com,Freight logistics marketplace,Series D,235000000,Asia & the Pacific,China,Yunmanman,Yes
"Infrastructure, Vessel & Asset efficiency",Drones and UVs,2010,Existing,https://yunzhou-tech.com,Developer of unmanned ships,Series C,82710816,Asia & the Pacific,China,Yunzhou Technology,Yes
"Infrastructure, Vessel & Asset efficiency",Drones and UVs,2013,Existing,https://deepinfar.com,Provider of underwater robots,Series B,31801400,Asia & the Pacific,China,Deep Blue,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2014,Existing,http://www.51hitech.com/,VR content creation as well as custom solutions for enterprises,Series B,31717500,Asia & the Pacific,China,51HiTech,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2004,Existing,https://airlook.com,Provider of aviation data collection services,Series B,21230060,Asia & the Pacific,China,AIRLOOK,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2015,Existing,https://boyagongdao.com,Provider of underwater robot,Series B,14473359,Asia & the Pacific,China,Boya Gongdao,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2017,Emerging,https://fjdynamics.com,Provider of agriculture robots,Series A,14100500,Asia & the Pacific,China,FJ Dynamics,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2013,Emerging,https://powerbee.cn,IoT solutions for energy management,Series A,8796870,Asia & the Pacific,China,PowerBee,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2012,Emerging,https://wehgc.com,SaaS tools for fleet management to SMEs and B2B marketplace to order truck spares and maintenance products,Series A,5600000,Asia & the Pacific,China,WeHGC,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2014,Emerging,https://hengtbj.com,Equipment provider cleaning sewage and treating and sewage water,Series A,4376520,Asia & the Pacific,China,Beijing Hengtong Guosheng Environmental Management,Yes
"Infrastructure, vessel & Asset efficiency",Drones and UVs,2015,Distant,https://innno.net,Provides unmanned aerial vehicles to industries,Series A,2898270,Asia & the Pacific,China,Inno,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2014,Emerging,https://asensing.com,Inertial and photoelectric sensor supplier,Series A,1489070,Asia & the Pacific,China,Guangzhou Asensing Electronics,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2017,Existing,https://teoform.com,Provider of digital twin platform to visualise BIM models,Seed,1394840,Asia & the Pacific,China,Teoform,Yes
"Infrastructure, Vessel & Asset efficiency",Drones and UVs,2018,Emerging,https://nept.io,Provider of robotic solution for inspection of cargo ship hulls,Seed,55000,Asia & the Pacific,China,Neptune Robotics,Yes
"Infrastructure, Vessel & Asset Efficiency",Drones and UVs,2014,Distant,https://xcontrolsys.com,"Designs and drones, drone parts and accessories for civil and industrial applications",Seed,,Asia & the Pacific,China,Beijing Aiken Extension Technology,Yes
"Infrastructure, Vessel & Asset efficiency",Drones and UVs,2015,Emerging,https://byaero.com,Developer of UAVs for industrial applications,Funded,,Asia & the Pacific,China,Beijing Boying Navigation Technology,Yes
"Infrastructure, Vessel & Asset efficiency",Drones and UVs,2017,Distant,https://microbrain.com.cn,Manufacturer and supplier of millimeter wave radar sensors,Funded,,Asia & the Pacific,China,Changsha Mozhibi Intelligent Technology,Yes
"Infrastructure, Vessel & Asset efficiency",Drones and UVs,2012,Emerging,https://dronefromchina.com,Developer of drones for commercial and government organizations,Unfunded,,Asia & the Pacific,China,Fly Dragon Aviation Tech,Yes
"Infrastructure, Vessel & Asset efficiency",Drones and UVs,2015,Emerging,https://qingzhun.net,"Firm specialised in the development of police drones, unmanned aerial vehicles, armed drones, fire drones, etc",Unfunded,,Asia & the Pacific,China,Shenzhen Qingzhun Technology,Yes
"Infrastructure, Vessel & Asset efficiency",Drones and UVs,2014,Emerging,https://swellpro.com,Manufacturer of waterproof drones,Unfunded,,Asia & the Pacific,China,Swellpro,Yes
"Infrastructure, Vessel & Asset Efficiency",Drones and UVs,2012,Emerging,https://chsurvey.com,USV and related hardware peripherals for water monitoring,Seed,,Asia & the Pacific,China,Wuhan Chuhang Measurement & Control,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2010,Existing,https://caaayl.com,Provider of fiber-optic sensing technology for structural health monitoring of assets,Series B,,Asia & the Pacific,China,Beijing Aerospace Yilian Technology Development,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2016,Emerging,https://cnpresky.com,"Provider of weather monitoring, forecasting, and early warning security services",Funded,,Asia & the Pacific,China,Beijing Hongxiang Technology,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2017,Emerging,https://calltou.com,Provider of wearable device for elderly and other commercial uses,Unfunded,,Asia & the Pacific,China,Calltou,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2010,Emerging,https://gemsr.com,Provider of pressure sensors for industrial applications,Unfunded,,Asia & the Pacific,China,GEMSR Sensors & Solutions,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2010,Emerging,https://grenergycn.com,Manufacturer of lithium batteries,Unfunded,,Asia & the Pacific,China,Grenergy,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2019,Distant,https://hiotech.net,Provider of IoT based asset tracking solutions,Unfunded,,Asia & the Pacific,China,HKT Technology,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2019,Distant,https://ilinkcon.com,Provides IoT based container and tank monitoring solutions,Unfunded,,Asia & the Pacific,China,iLink,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2011,Emerging,https://tech-5d.com,Developer of IoT-enabled environmental monitoring solutions for smart cities,Funded,,Asia & the Pacific,China,Jiangsu Nanda Wuwei Electronic Technology,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2009,Emerging,https://jmgxcc.com,Offers real-time monitoring and management system,Funded,,Asia & the Pacific,China,Junyi Guoxing Technology,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2011,Emerging,https://iekant.net,Blockchain-based platform for product traceability,Unfunded,,Asia & the Pacific,China,Kant Huanyu Intelligent Supply Chain,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2010,Emerging,https://kuang-chi.com,Developer of unmanned aerial vehicles and aerospace technology,Funded,,Asia & the Pacific,China,Kuang-Chi,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2010,Emerging,https://latuza.com,Internet-first brand offering casual wear for men & women,Unfunded,,Asia & the Pacific,China,Latuza,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2000,Emerging,https://govacorp.net,Develops sensors based on MEMS sensing technology,Unfunded,,Asia & the Pacific,China,Nanjing Gaohua Technology,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2018,Distant,https://oin.space,Blockchain-based supply chain visibility solutions,Unfunded,,Asia & the Pacific,China,OIN,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2015,Emerging,https://rubinway.com,Blockchain-based SCM solution,Unfunded,,Asia & the Pacific,China,Rubin Way,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2014,Existing,https://lugou56.com,ERP and warehouse management software,Funded,,Asia & the Pacific,China,Shanghai Ziteng Information Technology,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2016,Emerging,https://smartoceantech.com,Provider of underwater communication solution,Funded,,Asia & the Pacific,China,Shenzhen Smart Ocean Technology,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2015,Emerging,https://shipparts.com,E-procurement platform for the marine industry,Unfunded,,Asia & the Pacific,China,ShipParts.com,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2019,Distant,https://teliotics.com,Provider of an IoT platform for telematics management,Unfunded,,Asia & the Pacific,China,Teliotics,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2017,Emerging,https://tipsun.net,Manufacturer of lithium batteries,Unfunded,,Asia & the Pacific,China,Tipsun,Yes
"Infrastructure, Vessel & Asset Efficiency",Equipment Management,2007,Emerging,https://satprotech.com,Satellite communication antenna systems provider,Funded,,Asia & the Pacific,China,Xi'an Satpro Measurement and Control Technology,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2012,Existing,https://zillionsource.com,Integrated solutions for real-time cargo monitoring,Funded,,Asia & the Pacific,China,ZillionSource,Yes
"Infrastructure, Vessel & Asset efficiency",Vessel Flow Efficiency,2014,Emerging,https://edoradomarine.com,Manufacturer of Electric powerboats,Unfunded,,Asia & the Pacific,China,EDORADO MARINE,Yes
"Infrastructure, vessel & Asset efficiency",Vessel Flow Efficiency,2017,Emerging,https://xuantuliao.com,Service provider of coatings and paint,Seed,,Asia & the Pacific,China,Guangzhou Zibao Technology,Yes
"Infrastructure, Vessel & Asset efficiency",Vessel Flow Efficiency,2006,Emerging,https://odcmarine.com,Developer and manufacturer of Electric & hybrid boats,Unfunded,,Asia & the Pacific,China,ODC Marine,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2014,Emerging,https://futuredecisions.net,Data analytics for air quality improvement and peak load shedding in HVAC,Unfunded,,Latin America and the Caribbean,Colombia,Future Decisions,Yes
"Infrastructure, vessel & Asset efficiency",Drones and UVs,2017,Distant,https://lorenztechnology.com,Provider of drone-based security and inspection services to enterprises,Funded,,Europe,Denmark,Lorenz Technology,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2015,Existing,https://vesselports.com,Maritime ship and port intelligence,Unfunded,,Europe,Denmark,Vesselports,Yes
"Infrastructure, Vessel & Asset efficiency",Vessel Flow Efficiency,2013,Distant,https://frugal.dk,Hardware-based propulsion accessory for maritime vessels,Funded,,Europe,Denmark,Frugal Technologies,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2013,Existing,https://isotropicsystems.com,Satellite communication antennas provider,Series A,20122501,Europe,England,Isotropic Systems,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2014,Distant,https://iotic-labs.com,Environment & virtual space to enable data exchange of IoT applications,Series A,8369040,Europe,England,Iotic Labs,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2016,Emerging,https://rovco.com,Provider of ROVs and services,Series A,7051109,Europe,England,Rovco,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2010,Distant,https://livingmap.com,Mapping services provider,Series A,4689680,Europe,England,Living Map,Yes
"Infrastructure, vessel & Asset efficiency",Drones and UVs,2014,Distant,https://tflighttech.com,Application-specific & cost effective commercial solutions of UAVs,Seed,1750000,Europe,England,Top Flight Technologies,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2016,Distant,https://luminousgroup.co.uk,Develops VR based interactive architecture visualization solutions,Seed,850876,Europe,England,Luminous Group,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2010,Distant,https://cfms.org.uk,Developer of digital twin platform for aerospace industries,Unfunded,,Europe,England,CFMS,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2013,Distant,https://octue.com,Provider of digital twins of wind farms,Unfunded,,Europe,England,Octue,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2019,Distant,https://visualiseinfo.com,Visualisation platform for construction industry,Unfunded,,Europe,England,Visualise Info,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2010,Emerging,https://wrld3d.com,Develops 3D mapping platform,Series B,,Europe,England,WRLD,Yes
"Infrastructure, Vessel & Asset efficiency",Vessel Flow Efficiency,2009,Mature,https://visedo.com,Electric drivetrains for heavy duty vehicles,Acquired,24400000,Europe,Finland,Visedo Oy,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2017,Emerging,https://edgeai.eu,AI based platform for building 4D digital twins,Unfunded,,Europe,Finland,AM-X,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2010,Emerging,https://cosmotech.com,Augmented intelligence software for utility asset optimization and infrastructure planning application,Series B,29250000,Europe,France,Cosmo Tech,Yes
"Infrastructure, Vessel & Asset Efficiency",Drones and UVs,2014,Emerging,https://heliceo.com,Builds UAVs and UAV systems,Seed,1630800,Europe,France,Hélicéo,Yes
"Infrastructure, vessel & Asset efficiency",Vessel Flow Efficiency,2016,Emerging,https://airseas.com,Wing Towing,Unfunded,,Europe,France,AirSeas,Yes
"Infrastructure, Vessel & Asset Efficiency",Drones and UVs,2011,Existing,https://volocopter.com,Electric copters for urban mobility,Series C,186444570,Europe,Germany,Volocopter,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2013,Existing,https://navvis.com,Develops digital twin powered indoor navigation solution for enterprises,Series C,43700000,Europe,Germany,NavVis,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2018,Emerging,https://twaice.com,Digital twin based battery data analytics and management platform,Seed,3638870,Europe,Germany,TWAICE,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2014,Distant,https://bigchaindb.com,Decentralized database solutions provider,Series A,3370000,Europe,Germany,BigChainDB,Yes
"Infrastructure, Vessel & Asset Efficiency",Equipment Management,2013,Emerging,https://airrays.com,Adaptive antenna systems enabling MIMO,Series A,50000,Europe,Germany,Airrays,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2017,Distant,https://echo.aero,Provider of software services and solutions for aviation interior products,Seed,,Europe,Germany,Echo Aero,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2019,Existing,https://equinox-digital-twin.com,Digital twin platform providing data analysis and visualization solutions,Unfunded,,Europe,Germany,Equinox Digital Twin,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2017,Distant,https://flumen.software,Digital twin based value chain visualization solution,Unfunded,,Europe,Germany,fLUMINA,Yes
"Infrastructure, Vessel & Asset efficiency",Drones and UVs,2012,Existing,https://planystech.com,Provider of remotely operated vehicle for underwater,Series A,2427057,Asia & the Pacific,India,Planys,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2016,Emerging,https://switchon.io,Load disaggregation software for utility customers,Seed,1015318,Asia & the Pacific,India,Switchon,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2018,Emerging,https://nebularc.com,Provider of AI and cloud-based asset tracking and supply chain visibility solutions,Seed,1000000,Asia & the Pacific,India,NebulARC,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2015,Emerging,https://gaia.in,IoT solutions and services companies providing solutions for smart cities and other industrial clients,Seed,805032,Asia & the Pacific,India,Gaia,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2015,Emerging,https://celtris.com,GPS Tracking system,Seed,450000,Asia & the Pacific,India,Celtris,Yes
"Infrastructure, vessel & Asset efficiency",Equipment Management,2015,Emerging,https://unitary.io,Analytics platform for industries for equipment performance management,Seed,61599,Asia & the Pacific,India,Unitary,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2014,Distant,https://liradolf.com,Cloud- based solutions for manufacturing sector,Seed,54462,Asia & the Pacific,India,Liradolf,Yes
"Infrastructure, Vessel & Asset efficiency",Drones and UVs,2017,Emerging,https://aerologiks.com,"Provider of automated, intelligent and stable drone services and data solutions",Funded,,Asia & the Pacific,India,Aerologiks,Yes
"Infrastructure, Vessel & Asset efficiency",Drones and UVs,2017,Emerging,https://dronobotics.in,Designs and manufactures UAVs for commercial and military applications,Unfunded,,Asia & the Pacific,India,Dronobotics Aviation Developers,Yes
"Infrastructure, Vessel & Asset efficiency",Drones and UVs,2016,Emerging,https://eyerov.com,Unmanned underwater vehicle,Funded,,Asia & the Pacific,India,Eyerov,Yes
"Infrastructure, Vessel & Asset efficiency",Drones and UVs,2020,Distant,https://teamuavvit.com,Provider of autonomous aerial vehicle,Unfunded,,Asia & the Pacific,India,Team UAV,Yes
"Infrastructure, Vessel & Asset efficiency",Drones and UVs,2018,Distant,https://vyorius.com,Last mile delivery services using proprietary drones,Unfunded,,Asia & the Pacific,India,Vyorius,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2018,Distant,https://agroblock.io,"Blockchain, IoT and AI-based traceability platform for the agricultural supply chain",Unfunded,,Asia & the Pacific,India,Agroblock,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2015,Emerging,https://airslice.com,Location tracking app,Unfunded,,Asia & the Pacific,India,AirSlice,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2014,Emerging,https://akasalabs.com,Blockchain based smart contracts driven trade finance solution,Unfunded,,Asia & the Pacific,India,Akasa Labs,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2017,Emerging,https://alltrack.io,Developer of GPS enabled tracking devices for enterprise applications,Funded,,Asia & the Pacific,India,AllTrack,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2017,Emerging,https://atsuyatech.com,Provides solutions for tracking and monitoring temperature of assets,Funded,,Asia & the Pacific,India,Atsuya,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2012,Distant,https://chekhra.com,GPS based vehicle and asset tracking solution for enterprises,Unfunded,,Asia & the Pacific,India,Chekhra,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2019,Distant,https://claptek.com,Digital twin solution for revenue assurance,Unfunded,,Asia & the Pacific,India,Claptek,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2009,Emerging,https://cnbtek.com,Container yard management solution,Funded,,Asia & the Pacific,India,CNB Technologies,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2010,Emerging,https://efleetadmin.com,Web-based fleet management platform,Unfunded,,Asia & the Pacific,India,eFleetAdmin,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2012,Emerging,https://emotoeast.com,GPS-based fleet tracking solution,Unfunded,,Asia & the Pacific,India,EMotoEast,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2012,Emerging,https://etraxmobility.com,GPS and RFID-based asset tracking solutions,Unfunded,,Asia & the Pacific,India,ETraxMobility,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2013,Emerging,https://freethink.co.in,Provider of a platform to manage live operations,Unfunded,,Asia & the Pacific,India,Freethink,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2012,Emerging,https://globalafs.com,Provider of vehicle telematics solutions,Unfunded,,Asia & the Pacific,India,Global Auto Fleet Systems,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2013,Emerging,https://hashlog.in,"Provides industrial monitoring solutions for assets, supply chain and fleet",Unfunded,,Asia & the Pacific,India,Hashlog,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2017,Distant,https://heliosiot.com,Provider of solar power plant performance analytics solutions,Funded,,Asia & the Pacific,India,Helios,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2005,Emerging,https://ibodetech.com,Revenue budgeting system provider for airspace industry,Unfunded,,Asia & the Pacific,India,iBODE,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2015,Emerging,https://intangles.ai,Digital twin solution provider for vehicles telematics and fleet management,Unfunded,,Asia & the Pacific,India,Intangles,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2011,Emerging,https://itsvisible.com,"Asset, fleet and employee tracking",Unfunded,,Asia & the Pacific,India,Its Visible,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2013,Distant,https://jtrack.in,GPS-enabled fleet management solution,Unfunded,,Asia & the Pacific,India,jTrack,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2010,Emerging,https://kriostechnologies.com,Peformance management solutions for organizations,Unfunded,,Asia & the Pacific,India,KRIOS,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2016,Emerging,https://logicloud.in,Cloud-based platform for supply chain visibility,Unfunded,,Asia & the Pacific,India,LogiCloud,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2017,Emerging,https://lynkit.in,Supply chain management and optimization solutions,Unfunded,,Asia & the Pacific,India,Lynkit,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2014,Emerging,https://myvesselplanner.com,Vessel planning and management application,Unfunded,,Asia & the Pacific,India,MyVessel Planner,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2017,Emerging,https://pariskq.in,Provider of asset tracking solutions,Unfunded,,Asia & the Pacific,India,Pariskq,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2015,Emerging,https://pratititech.com,Provider of digital twin technology for solar plants,Funded,,Asia & the Pacific,India,Pratititech,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2016,Emerging,https://prayingmantis.in,Provider of digital twin based development services,Unfunded,,Asia & the Pacific,India,Praying Mantis,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2018,Distant,https://qubento.com,Provider of end-to-end traceability solutions for the organic supply chain,Unfunded,,Asia & the Pacific,India,Qubento,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2014,Emerging,https://seawellsoft.com,"Provides water-based apps for safe journey on rivers, lakes, seas and oceans",Unfunded,,Asia & the Pacific,India,Seawell,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2017,Emerging,https://sensiwise.com,Integrated solutions for tracking assets and monitoring cold supply chain,Seed,,Asia & the Pacific,India,Sensiwise,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2016,Emerging,https://sepioproducts.com,Provider of IoT-based track and trace solutions for supply chains,Unfunded,,Asia & the Pacific,India,Sepio Products,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2019,Distant,https://skunation.com,"Logistics & supply chain solutions based on blockchain, cloud, and IoT",Unfunded,,Asia & the Pacific,India,SKUNation,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2018,Emerging,https://skycube.in,Provides navigation and positioning solution and devices for Space technology and IoT,Unfunded,,Asia & the Pacific,India,Skycube,Yes
"Infrastructure, Vessel & Asset efficiency",Equipment Management,2003,Emerging,https://softlabsgroup.com,Web and mobile application development services,Unfunded,,Asia & the Pacific,India,Softlabs,Yes
